id,证券简称,year,TFPOP,TFPLP,Innovation,ICL,FC,DIF,BRE,DEP,DIG,SIZE,LEV,TOP,GROWTH,CFO,AGE,BSIZE,MSR,SOE,Enterprise property rights,Life circles of enterprises,Technical level,DIF_lag
518,四环生物,2011,5.4728286,6.5568471,1.3862944,555.9,-3.794778,62.08,66.7,79.22,15.71,20.692741,0.05676244,8.43,0.171684,0.02069012,2.9957323,1.7917595,0,0,1,3,1,
518,四环生物,2012,5.4490993,6.6085169,3.2580965,599.62,-3.825791,122.03,106.69,156.55,109.94,20.632086,0.09049714,8.43,0.075059,0.05977252,3.0445224,1.6094379,0,0,1,2,1,62.08
518,四环生物,2013,5.2816094,6.4096017,3.3672958,564.09,-3.849625,180.98,144.68,223.09,224.3,20.527961,0.11160678,8.43,-0.20468,-0.02311638,3.0910425,1.7917595,0,0,1,1,1,122.03
518,四环生物,2014,5.4344059,6.5107055,1.0986123,517.71,-3.888748,204.16,193.18,201.09,246.02,20.522474,0.11794717,8.43,0.155623,0.02455698,3.1354942,1.6094379,0,0,1,2,1,180.98
518,四环生物,2015,5.3654817,6.4740862,1.0986123,547.18,-3.931919,244.01,215.94,218.62,382.84,20.542377,0.2706192,8.43,-0.01404,-0.13667903,3.1780538,1.7917595,0,0,1,3,1,204.16
518,四环生物,2016,5.7204986,6.8244944,0,0,-4.001628,253.75297,233.21901,253.07703,322.79959,20.740475,0.39933134,8.6,0.376169,0.0113822,3.2188758,1.6094379,0,0,1,3,1,244.01
518,四环生物,2017,6.1721561,7.2636952,1.3862944,615,-4.028843,297.68818,272.32254,328.9296,324.69271,20.652445,0.27487724,14,0.057258,-0.01157738,3.2580965,1.7917595,0,0,1,3,1,253.753
518,四环生物,2018,6.2287349,7.3483359,0,453.53,-4.067918,334.0214,311.95099,333.0854,408.61877,20.646251,0.30573664,14,0.142924,0.02437347,3.2958369,1.7917595,0,0,1,2,1,297.6882
518,四环生物,2019,6.2637841,7.4058106,0,574.66,-4.106281,361.9269,341.49871,365.49563,422.91761,20.635337,0.27899596,14,0.056545,0.06402137,3.3322045,1.7917595,0,0,1,2,1,334.0214
518,四环生物,2020,6.5414966,7.6457828,1.6094379,549.67,-4.129843,381.61257,362.10902,395.00553,421.69919,20.529326,0.16833587,14,0.209442,0.12168569,3.3672958,1.7917595,0,0,1,2,1,361.9269
518,四环生物,2021,6.2755936,7.3579578,1.0986123,551.55,-4.165006,412.92128,398.65631,428.99839,430.83463,20.499262,0.19083373,14,-0.305575,0.00019474,3.4011974,1.7917595,0.0001,0,1,2,1,381.6126
518,四环生物,2022,6.0416891,7.1306911,1.6094379,581.54,-4.191805,424.06483,424.76749,401.96953,461.92126,20.419561,0.19589124,14.32,-0.23026,0.00659251,3.4339872,1.7917595,0,0,1,2,1,412.9213
543,皖能电力,2011,6.7984715,8.3267059,0.69314718,529.66,-3.832291,60.58,20.2,55.58,34.66,23.415838,0.66754749,54.54,0.36099,0.01295846,2.944439,2.1972246,0.0008,1,0,1,0,
543,皖能电力,2012,7.16744,8.6264751,0,701.33,-3.857566,96.63,66.06,138.06,122.31,23.570389,0.67024841,54.54,0.484349,0.08586369,2.9957323,2.1972246,0.0006,1,0,1,0,33.07
543,皖能电力,2013,7.5786821,9.0413641,0,725.27,-3.871097,150.83,106.51,190.86,224.45,23.806563,0.543037,42.69,0.643932,0.15153361,3.0445224,2.1972246,0,1,0,2,0,96.63
543,皖能电力,2014,7.6250501,9.0828129,1.9459101,678.23,-3.904701,180.59,156.56,173.84,272.22,23.857961,0.4554754,42.69,0.023751,0.15384039,3.0910425,2.0794415,0,1,0,2,0,150.83
543,皖能电力,2015,7.5177744,8.9723609,1.9459101,729.24,-3.945819,211.28,171.65,189.78,381.23,23.849111,0.42487878,42.69,-0.121911,0.13982986,3.1354942,2.1972246,0,1,0,2,0,180.59
543,皖能电力,2016,7.4682161,8.9279171,2.4849066,635.21,-3.962731,228.77833,194.89492,229.95423,338.53799,24.022266,0.45068198,42.69,-0.058796,0.07164495,3.1780538,2.1972246,0,1,0,2,0,211.28
543,皖能电力,2017,7.5976489,9.0367011,3.0910425,672.21,-4.005538,271.59632,234.70174,309.54702,324.47577,24.002207,0.48077634,42.69,0.14802,0.03727043,3.2188758,2.1972246,0,1,0,1,0,228.7783
543,皖能电力,2018,7.6416273,9.0607748,2.4849066,700.53,-4.033422,303.8303,273.40668,309.62053,393.78539,24.087104,0.5018986,42.81,0.09904,0.04731327,3.2580965,2.1972246,0,1,0,1,0,271.5963
543,皖能电力,2019,7.8402072,9.2619415,3.5553481,719.69,-4.05373,330.28998,301.14702,341.53291,406.10952,24.216717,0.44559998,54.93,0.19944,0.08107798,3.2958369,2.1972246,0,1,0,2,0,303.8303
543,皖能电力,2020,7.9013053,9.3260088,2.0794415,718.52,-4.089956,350.16469,323.74512,366.14547,408.38344,24.240527,0.42559184,54.1,0.040999,0.08755011,3.3322045,2.1972246,0,1,0,2,0,330.29
543,皖能电力,2021,8.1179559,9.5620555,3.988984,592.93,-4.098805,384.62366,364.42756,399.87704,423.61655,24.426449,0.58903061,54.93,0.255508,-0.02603535,3.3672958,2.1972246,0,1,0,1,0,350.1647
543,皖能电力,2022,8.2385423,9.6799303,4.1896547,740.14,-4.119399,393.32082,389.06133,368.60476,452.32267,24.534158,0.62436453,54.93,0.154208,0.06348624,3.4011974,2.1972246,0,1,0,1,0,384.6237
807,云铝股份,2011,7.3428529,8.9719079,3.2580965,676.53,-3.631649,60.58,7.47,48.39,39.81,23.423055,0.66536022,49.13,0.092869,0.05860947,2.6390573,2.3978953,0.0069,1,0,1,1,
807,云铝股份,2012,7.4981035,9.0504042,4.0073332,710.13,-3.648291,84.43,52.78,111.96,138.91,23.658148,0.73420723,49.13,0.335568,0.05080622,2.7080502,2.3978953,0.0064,1,0,1,1,33.07
807,云铝股份,2013,7.7833381,9.271939,4.1588831,683.84,-3.664782,137.9,95.59,153.55,249.15,23.857319,0.76415612,49.13,0.396082,0.10100966,2.7725887,2.3978953,0.0064,1,0,2,1,84.43
807,云铝股份,2014,7.5865081,9.389901,4.1108739,704.6,-3.696935,164.05,147.22,144.3,255.54,23.918055,0.80747506,49.13,0.278999,0.01209344,2.8332133,2.1972246,0.0075,1,0,1,1,137.9
807,云铝股份,2015,7.3946136,9.1531698,4.1743873,676.29,-3.711495,203.76,167.96,158.79,403.67,24.100222,0.77309564,49.13,-0.169723,0.10505193,2.8903718,2.3978953,0.0128,1,0,2,1,164.05
807,云铝股份,2016,7.338454,9.1064953,4.2626799,642.5,-3.738415,217.33785,185.37427,203.16698,348.64506,24.186728,0.69095925,42.57,-0.019493,0.02854447,2.944439,2.3978953,0.0089,1,0,1,1,203.76
807,云铝股份,2017,7.5938055,9.4353872,4.7361984,700.55,-3.759758,256.27328,223.53584,282.85476,316.08469,24.303374,0.69527798,42.57,0.42376,0.05664287,2.9957323,2.3978953,0.0075,1,0,1,1,217.3378
807,云铝股份,2018,7.5019997,9.3716047,4.7449321,563.59,-3.792282,285.79062,262.28533,278.83613,376.05959,24.348177,0.75438121,42.57,-0.019909,0.00899023,3.0445224,2.3978953,0.005,1,0,1,1,256.2733
807,云铝股份,2019,7.6079284,9.4474835,4.9698133,576.13,-3.823145,303.46095,284.42975,291.12068,388.74441,24.401576,0.68232275,42.57,0.11961,0.09307658,3.0910425,2.3978953,0.003,1,0,1,1,285.7906
807,云铝股份,2020,7.7556043,9.5800946,4.7621739,678.9,-3.856897,318.47767,302.46052,309.45295,387.78484,24.437291,0.66457417,35.48,0.217821,0.12143001,3.1354942,2.3978953,0.0022,1,0,2,1,303.4609
807,云铝股份,2021,8.142495,9.9598925,4.4543473,780.24,-3.910864,346.9308,335.34324,342.00177,394.17077,24.356557,0.44735917,32,0.409011,0.18398936,3.1780538,2.3025851,0.0019,1,0,2,1,318.4777
807,云铝股份,2022,8.3507238,10.132549,3.8918203,791.35,-3.94543,354.70627,358.95787,313.55996,415.45866,24.388351,0.35287119,29.1,0.163053,0.17702412,3.2188758,2.3978953,0.0016,1,0,2,1,346.9308
900,现代投资,2011,6.639868,8.1124721,0,717.34,-3.670286,60.58,15.33,60.73,39.02,22.807722,0.3609073,27.19,0.067659,0.11793782,2.6390573,2.1972246,0.0024,1,0,1,0,
900,现代投资,2012,6.270375,7.6853087,0,600.98,-3.690359,93.71,63.39,132.38,123.56,23.18645,0.52293905,27.19,-0.133106,0.0881795,2.7080502,2.1972246,0.0726,1,0,2,0,33.07
900,现代投资,2013,6.1104327,7.6089572,0,654.81,-3.704381,147.71,103.46,175,244.25,23.501523,0.61665479,27.19,0.038201,0.06647451,2.7725887,2.1972246,0.0788,1,0,1,0,93.71
900,现代投资,2014,6.9518176,8.4632287,2.1972246,719.07,-3.737077,167.27,150.42,153.46,247.99,23.575183,0.61833998,27.19,1.469233,0.06903252,2.8332133,2.0794415,0.083,1,0,2,0,147.71
900,现代投资,2015,7.3573094,8.8942195,2.5649494,687.1,-3.769002,206.38,170.07,174.47,384.24,23.65163,0.62219141,27.19,0.50439,0.07672456,2.8903718,2.0794415,0.1446,1,0,1,0,167.27
900,现代投资,2016,7.7352183,9.299819,2.0794415,685.6,-3.790055,217.69111,186.13273,219.802,318.07384,23.815062,0.63934633,27.19,0.461554,0.06776901,2.944439,2.0794415,0.1446,1,0,1,0,206.38
900,现代投资,2017,7.8578082,9.4325795,1.6094379,646.86,-3.824611,261.11769,223.47261,297.69872,318.96355,23.858674,0.61497449,27.19,0.112264,0.02789445,2.9957323,2.0794415,0.0748,1,0,2,0,217.6911
900,现代投资,2018,7.9628032,9.5620098,1.0986123,700.25,-3.855307,286.8088,258.06869,286.55153,382.19319,23.930358,0.60815649,27.19,0.119716,0.09653003,3.0445224,2.0794415,0.0624,1,0,1,0,261.1177
900,现代投资,2019,7.9356844,9.579898,3.1780538,692.87,-3.841274,310.85042,282.27961,311.81156,403.46324,24.294163,0.69474982,27.19,0.039111,0.11483746,3.0910425,1.9459101,0.0449,1,0,2,0,286.8088
900,现代投资,2020,8.0393791,9.7368833,4.0253517,595.06,-3.837907,332.03485,302.28083,347.44362,402.30223,24.542217,0.74337849,27.19,0.1384,-0.00741774,3.1354942,1.7917595,0.0399,1,0,1,0,310.8504
900,现代投资,2021,8.1860994,9.8812754,4.3567088,696.65,-3.834072,362.36478,338.7869,377.36246,412.98757,24.766833,0.77910626,27.19,0.124234,0.06047019,3.1780538,2.1972246,0.0059,1,0,2,0,332.0349
900,现代投资,2022,8.2511259,9.9287193,3.4657359,660.58,-3.87094,371.9491,362.19111,353.39996,437.89929,24.782076,0.76243147,27.19,0.006382,0.05249071,3.2188758,2.1972246,0.0059,1,0,3,0,362.3648
935,四川双马,2011,6.5049882,7.7990247,0,697.28,-3.677783,60.58,29.02,58.56,43.5,22.321222,0.32310313,48.14,2.197428,0.03978838,2.6390573,2.0794415,0,0,0,1,0,
935,四川双马,2012,6.3955622,7.6688114,0,656.51,-3.717725,100.13,74.36,126.5,137.31,22.311442,0.31742105,48.14,-0.083049,0.05544305,2.7080502,2.0794415,0,0,0,2,0,40.16
935,四川双马,2013,6.5556575,7.7611146,0,669.55,-3.757613,153.04,114.03,176.71,238.82,22.295552,0.28676054,48.14,0.081641,0.07427118,2.7725887,2.0794415,0,0,0,3,0,100.13
935,四川双马,2014,6.5563927,7.764248,0,660.26,-3.797411,173.82,162.58,159.82,236.39,22.272372,0.27729428,48.14,-0.010265,0.11920457,2.8332133,2.1972246,0,0,0,2,0,153.04
935,四川双马,2015,6.3981369,7.6501101,0,617.21,-3.83791,215.48,182.08,176.54,396.51,22.419154,0.40087817,58.16,-0.010961,0.05723174,2.8903718,2.3025851,0,0,0,2,0,173.82
935,四川双马,2016,6.5464325,7.792518,0,670.72,-3.87793,225.41463,196.99883,216.54434,335.3756,22.411487,0.38549255,25.92,0.133392,0.09963479,2.944439,2.1972246,0,0,0,2,0,215.48
935,四川双马,2017,6.7542698,8.0083674,0,631.49,-3.917026,267.7968,231.86744,301.53543,325.14289,22.532584,0.41393995,26.52,0.227889,0.10165411,2.9957323,2.1972246,0,0,0,1,0,225.4146
935,四川双马,2018,6.9839105,8.0246079,0.69314718,725.11,-3.955612,294.30427,266.14787,295.8344,384.51377,22.151619,0.1640911,26.52,-0.294178,0.16630192,3.0445224,2.0794415,0,0,0,3,0,267.7968
935,四川双马,2019,6.8915817,7.9506926,2.0794415,695.51,-3.997667,317.11038,291.21647,319.5331,398.22859,22.302892,0.1321215,26.52,-0.066568,0.18516657,3.0910425,2.0794415,0,0,0,2,0,294.3043
935,四川双马,2020,7.0735352,8.0334907,1.6094379,690.92,-4.037869,334.82288,310.76282,344.86248,396.04577,22.431111,0.0789864,26.52,-0.186548,0.10893837,3.1354942,2.1972246,0,0,0,3,0,317.1104
935,四川双马,2021,6.7890866,7.800258,0.69314718,666.64,-4.076093,363.60768,342.96436,375.60046,410.001,22.593589,0.08526292,26.52,-0.16902,0.06797979,3.1780538,2.1972246,0,0,0,2,0,334.8229
935,四川双马,2022,6.8166399,7.8001889,0,652.58,-4.113732,371.61125,363.22626,352.63917,433.79636,22.698834,0.09625124,26.52,-0.003444,0.05740287,3.2188758,2.1972246,0,0,0,2,0,363.6077
961,中南建设,2011,7.8137164,9.5706224,2.0794415,687.1,-3.530544,60.58,44.96,44.64,35.33,24.236838,0.79470907,72.63,0.34641,-0.08076071,2.6390573,2.1972246,0.4537,0,1,3,0,
961,中南建设,2012,7.7696532,9.6747748,3.5263605,740.4,-3.508738,103.53,89.01,120.36,120.91,24.59109,0.82862372,72.63,0.059476,-0.00580748,2.7080502,2.1972246,0.4537,0,1,1,0,43.29
961,中南建设,2013,7.9495967,9.9604252,2.7725887,687.8,-3.48617,160.07,126.67,181.54,231.33,24.899376,0.84886514,72.63,0.405986,-0.06418423,2.7725887,2.1972246,0.4537,0,1,1,0,103.53
961,中南建设,2014,8.1627371,10.069717,3.6888795,705.11,-3.467516,187.61,175.49,162.89,272.53,25.157414,0.84728404,72.63,0.189109,-0.06961989,2.8332133,2.1972246,0.4537,0,1,1,0,160.07
961,中南建设,2015,8.1422025,10.025251,3.3672958,553.05,-3.475159,226.4,194.17,178.41,420.06,25.289968,0.86267016,67.93,-0.061602,0.00990739,2.8903718,2.0794415,0.4537,0,1,1,0,187.61
961,中南建设,2016,8.6864118,10.58357,3.4657359,493.08,-3.464378,231.41065,207.73741,220.06242,330.21495,25.486597,0.862251,54.26,0.684116,-0.03841748,2.944439,2.1972246,0.3571,0,1,1,0,226.4
961,中南建设,2017,8.2689605,10.26232,3.3672958,549.49,-3.390367,267.17592,239.87227,291.26529,313.57423,25.888075,0.88716284,54.26,-0.112872,-0.0167878,2.9957323,2.4849066,0.3576,0,1,1,0,231.4106
961,中南建设,2018,8.3191047,10.494157,4.0943446,625.94,-3.336869,290.9506,271.81311,279.47555,375.01204,26.185801,0.88716284,54.43,0.312834,0.08244406,3.0445224,2.4849066,0.3576,0,1,2,0,267.1759
961,中南建设,2019,8.4325677,10.954188,3.7612001,668.84,-3.306572,311.01187,292.44408,302.52138,387.77,26.330946,0.88716284,53.75,0.790839,0.02820771,3.0910425,2.3978953,0.4229,0,1,1,0,290.9506
961,中南建设,2020,8.485601,11.038133,3.8286414,738.15,-3.271466,326.29353,307.11236,328.11833,386.33345,26.330946,0.8653787,53.83,0.09425,0.02356957,3.1354942,2.3978953,0.6119,0,1,1,0,311.0119
961,中南建设,2021,8.5850811,11.024154,3.5263605,637.07,-3.302731,357.23452,340.10019,363.89797,401.7251,26.330946,0.88370363,54.12,0.007756,0.04557894,3.1780538,2.3978953,0.5268,0,1,2,0,326.2935
961,中南建设,2022,8.6686497,10.856461,1.0986123,500.21,-3.407791,365.24644,364.92167,333.10614,424.74522,26.330946,0.88716284,49.97,-0.254691,0.02038755,3.2188758,2.3978953,0.5271,0,1,3,0,357.2345
2020,京新药业,2011,5.9044016,7.3865983,2.3025851,708.57,-3.463018,77.39,85.53,93.52,21.22,20.899367,0.35754367,23.9,0.124738,0.058205,2.3978953,2.1972246,25.9534,0,1,1,1,
2020,京新药业,2012,6.0422023,7.5374323,1.7917595,664.28,-3.513812,146.35,128.5,200.42,107.07,20.986382,0.40615467,23.9,0.20832,0.04633181,2.4849066,2.1972246,26.0523,0,1,2,1,77.39
2020,京新药业,2013,6.1136214,7.6375459,1.9459101,670.34,-3.555966,205.77,167.96,265.48,222.12,21.0044,0.38248604,23.9,0.136249,0.0838209,2.5649494,2.1972246,25.3555,0,1,2,1,146.35
2020,京新药业,2014,6.2053942,7.7356523,2.6390573,686.27,-3.640203,224.45,217.48,233.67,230.71,21.448231,0.32262996,21.08,0.26792,0.10194818,2.6390573,2.1972246,22.3647,0,1,1,1,205.77
